,trip_id,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
73,8750070,183316807.0,P1,OUTBOUND-SWISSVALE,15:28:00,3,LIBERTY AVE + 10TH ST NS,7279,15:54:00,14,9.600320628332112,3,EAST BUSWASY + SWISSVALE STATION A,16063,2023-01-01 15:28:00,2023-01-01 15:54:00,0 days 00:26:00,26.0,0.4333333333333333
74,12976070,183316807.0,P1,INBOUND-DOWNTOWN,16:07:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,16:28:00,11,8.988131780729988,3,LIBERTY AVE + 10TH ST NS,7279,2023-01-01 16:07:00,2023-01-01 16:28:00,0 days 00:21:00,21.0,0.35
75,2831070,183316807.0,P1,OUTBOUND-SWISSVALE,16:28:00,3,LIBERTY AVE + 10TH ST NS,7279,16:54:00,14,9.600320628332112,3,EAST BUSWASY + SWISSVALE STATION A,16063,2023-01-01 16:28:00,2023-01-01 16:54:00,0 days 00:26:00,26.0,0.4333333333333333
76,12821070,183316807.0,P1,INBOUND-DOWNTOWN,17:07:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,17:28:00,11,8.988131780729988,3,LIBERTY AVE + 10TH ST NS,7279,2023-01-01 17:07:00,2023-01-01 17:28:00,0 days 00:21:00,21.0,0.35
77,3982070,183316807.0,P1,OUTBOUND-SWISSVALE,17:28:00,3,LIBERTY AVE + 10TH ST NS,7279,17:54:00,14,9.600320628332112,3,EAST BUSWASY + SWISSVALE STATION A,16063,2023-01-01 17:28:00,2023-01-01 17:54:00,0 days 00:26:00,26.0,0.4333333333333333
78,8618070,183316807.0,P1,INBOUND-DOWNTOWN,18:17:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,18:38:00,11,8.988131780729988,3,LIBERTY AVE + 10TH ST NS,7279,2023-01-01 18:17:00,2023-01-01 18:38:00,0 days 00:21:00,21.0,0.35
79,14114070,183316807.0,P1,OUTBOUND-SWISSVALE,18:38:00,3,LIBERTY AVE + 10TH ST NS,7279,19:04:00,14,9.600320628332112,3,EAST BUSWASY + SWISSVALE STATION A,16063,2023-01-01 18:38:00,2023-01-01 19:04:00,0 days 00:26:00,26.0,0.4333333333333333
80,7686070,183316807.0,P1,INBOUND-DOWNTOWN,19:17:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,19:38:00,11,8.988131780729988,3,LIBERTY AVE + 10TH ST NS,7279,2023-01-01 19:17:00,2023-01-01 19:38:00,0 days 00:21:00,21.0,0.35
81,12705070,183316807.0,P1,OUTBOUND-SWISSVALE,19:38:00,3,LIBERTY AVE + 10TH ST NS,7279,20:04:00,14,9.600320628332112,3,EAST BUSWASY + SWISSVALE STATION A,16063,2023-01-01 19:38:00,2023-01-01 20:04:00,0 days 00:26:00,26.0,0.4333333333333333
82,13523070,183316907.0,28X,OUTBOUND-PITTSBURGH INTL AIRPORT,03:47:00,3,FIFTH AVE + MCPHERSON FS,8308,04:43:00,40,27.660500577876647,3,PGH AIRPORT UPPER LEVEL (DEPARTURES),22827,2023-01-01 03:47:00,2023-01-01 04:43:00,0 days 00:56:00,56.0,0.9333333333333332
83,2147070,183316907.0,28X,INBOUND-DOWNTOWN,05:00:00,3,PGH INTERNL AIRPORT LOWER LEVEL (DOOR2),4405,05:58:00,41,27.530782805373633,3,EAST LIBERTY DRWY + FIFTH FS,16029,2023-01-01 05:00:00,2023-01-01 05:58:00,0 days 00:58:00,58.0,0.9666666666666668
84,11698070,183316907.0,28X,OUTBOUND-PITTSBURGH INTL AIRPORT,06:17:00,3,FIFTH AVE + MCPHERSON FS,8308,07:13:00,40,27.660500577876647,3,PGH AIRPORT UPPER LEVEL (DEPARTURES),22827,2023-01-01 06:17:00,2023-01-01 07:13:00,0 days 00:56:00,56.0,0.9333333333333332
85,4280070,183316907.0,28X,INBOUND-DOWNTOWN,07:30:00,3,PGH INTERNL AIRPORT LOWER LEVEL (DOOR2),4405,08:30:00,41,27.530782805373633,3,EAST LIBERTY DRWY + FIFTH FS,16029,2023-01-01 07:30:00,2023-01-01 08:30:00,0 days 01:00:00,60.0,1.0
