trip_id,Unnamed: 0,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
10002070,811,183332507,71B,OUTBOUND-HIGHLAND PARK,8:03:00,3,FIFTH AVE + WOOD ST,20856,8:40:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 8:03,1/1/2023 8:40,0 days 00:37:00,37.0,0.616666667
5505070,812,183332507,71B,INBOUND-DOWNTOWN,8:53:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,9:31:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 8:53,1/1/2023 9:31,0 days 00:38:00,38.0,0.633333333
1209070,813,183332507,71B,OUTBOUND-HIGHLAND PARK,9:31:00,3,FIFTH AVE + WOOD ST,20856,10:08:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 9:31,1/1/2023 10:08,0 days 00:37:00,37.0,0.616666667
9959070,814,183332507,71B,INBOUND-DOWNTOWN,10:21:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,11:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 10:21,1/1/2023 11:03,0 days 00:42:00,42.0,0.7
4681070,815,183332507,71B,OUTBOUND-HIGHLAND PARK,11:03:00,3,FIFTH AVE + WOOD ST,20856,11:43:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 11:03,1/1/2023 11:43,0 days 00:40:00,40.0,0.666666667
12394070,830,183333107,71B,INBOUND-DOWNTOWN,12:51:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,13:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 12:51,1/1/2023 13:33,0 days 00:42:00,42.0,0.7
1105070,831,183333107,71B,OUTBOUND-HIGHLAND PARK,13:33:00,3,FIFTH AVE + WOOD ST,20856,14:13:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 13:33,1/1/2023 14:13,0 days 00:40:00,40.0,0.666666667
2446070,849,183333607,71B,INBOUND-DOWNTOWN,20:25:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,21:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 20:25,1/1/2023 21:03,0 days 00:38:00,38.0,0.633333333
13468070,850,183333607,71B,OUTBOUND-HIGHLAND PARK,21:03:00,3,FIFTH AVE + WOOD ST,20856,21:39:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 21:03,1/1/2023 21:39,0 days 00:36:00,36.0,0.6
10583070,851,183333607,71B,INBOUND-DOWNTOWN,21:55:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,22:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 21:55,1/1/2023 22:33,0 days 00:38:00,38.0,0.633333333
