,trip_id,block_id,route_id,trip_headsign,trip_start_time,trip_end_time,start_stop_id,end_stop_id,start_stop_name,start_stop_lat,start_stop_lon,end_stop_name,end_stop_lat,end_stop_lon
3978,2716080,183441608.0,61A,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,17:10:00,18:23:00,20856,7357,FIFTH AVE + WOOD ST,40.440792,-80.000658,BRADDOCK HILLS SC + GIANT EAGLE,40.414495,-79.855219
3979,2614080,183441708.0,61A,INBOUND-DOWNTOWN VIA OAKLAND,11:38:00,12:45:00,12565,20856,BRADDOCK HILLS S C + STOREFRONT,40.414555,-79.85334,FIFTH AVE + WOOD ST,40.440792,-80.000658
3980,6716080,183441708.0,61A,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,12:45:00,13:52:00,20856,7357,FIFTH AVE + WOOD ST,40.440792,-80.000658,BRADDOCK HILLS SC + GIANT EAGLE,40.414495,-79.855219
3981,2283080,183441808.0,57,INBOUND-DOWNTOWN,15:41:00,16:19:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3982,8667080,183441808.0,57,OUTBOUND-WATERFRONT,16:19:00,16:56:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3983,6362080,183441808.0,57,INBOUND-DOWNTOWN,17:17:00,17:55:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3984,3416080,183441808.0,57,OUTBOUND-WATERFRONT,17:55:00,18:32:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3985,12119080,183441808.0,57,INBOUND-DOWNTOWN,18:58:00,19:31:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3986,13705080,183441808.0,57,OUTBOUND-WATERFRONT,19:31:00,20:08:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3987,5576080,183441908.0,61A,INBOUND-DOWNTOWN VIA OAKLAND,14:18:00,15:25:00,12565,20856,BRADDOCK HILLS S C + STOREFRONT,40.414555,-79.85334,FIFTH AVE + WOOD ST,40.440792,-80.000658
